"Temperature","highest_temperature","lowest_temperature","Wind_speed","Rain","Air_pressure","Moisture","Date"
14.3,15.1,13.5,0.7,0,1007.8,78,2024-07-01
13.3,13.5,13.1,0.5,0,1007.8,84,2024-07-01 01:00:00
12.5,13.1,12,0.6,0,1007.8,90,2024-07-01 02:00:00
11.9,12,11.8,1.2,0.1,1007.6,94,2024-07-01 03:00:00
12,12.1,11.9,1.3,0,1007.3,95,2024-07-01 04:00:00
12.1,12.2,12.1,1.1,0.4,1007.1,97,2024-07-01 05:00:00
12.5,12.6,12.2,0.9,0.2,1006.8,98,2024-07-01 06:00:00
12.8,13,12.6,1.1,0.2,1006.2,97,2024-07-01 07:00:00
13.1,13.3,13,1,0.3,1005.7,96,2024-07-01 08:00:00
13.3,13.4,13.2,1.5,0.1,1005.1,93,2024-07-01 09:00:00
13.1,13.3,12.9,1.4,1.5,1004.8,95,2024-07-01 10:00:00
13.5,14,13,1.8,0.3,1004,96,2024-07-01 11:00:00
14.4,14.6,14,2,0,1003.3,94,2024-07-01 12:00:00
15.2,15.8,14.6,2.1,0,1002.5,92,2024-07-01 13:00:00
16.1,16.3,15.7,2.4,0,1001.6,85,2024-07-01 14:00:00
16.2,16.6,15.8,2.9,0,1000.7,82,2024-07-01 15:00:00
16,16.6,15.4,2.3,0.2,1000,84,2024-07-01 16:00:00
15.2,15.3,15,2,0.2,999.2,93,2024-07-01 17:00:00
15,15.1,14.8,2.6,0.2,998.4,94,2024-07-01 18:00:00
14.8,14.9,14.7,2.6,0.2,997.6,96,2024-07-01 19:00:00
15,15.1,14.9,2.2,0,996.8,95,2024-07-01 20:00:00
15,15.1,14.9,1.8,0,996.3,95,2024-07-01 21:00:00
14.8,14.9,14.8,1.6,0.1,995.7,97,2024-07-01 22:00:00
14.8,14.9,14.8,1.6,0,995,96,2024-07-01 23:00:00
14.6,14.8,14.5,1.4,0,994.7,96,2024-07-02
14.4,14.5,14.2,1.4,0,994.3,98,2024-07-02 01:00:00
14.2,14.3,14.2,1.3,0,994.1,98,2024-07-02 02:00:00
14.4,14.8,14.2,1.6,0,994.1,98,2024-07-02 03:00:00
14.8,14.9,14.8,2.1,0,994.1,96,2024-07-02 04:00:00
14.9,14.9,14.8,2.8,0,993.8,96,2024-07-02 05:00:00
14.9,15,14.8,2.8,0,993.9,94,2024-07-02 06:00:00
14.9,15.1,14.8,2.9,0,994.4,92,2024-07-02 07:00:00
15,15.2,14.9,2.9,0,994.6,90,2024-07-02 08:00:00
15.1,15.5,14.8,2.8,0,994.8,88,2024-07-02 09:00:00
15.3,15.7,14.8,2.5,0,995,86,2024-07-02 10:00:00
15.3,16.1,14.7,3.2,0,995.1,84,2024-07-02 11:00:00
15.8,17.6,15.2,3.4,0,995.3,80,2024-07-02 12:00:00
17.9,18.5,17,3.8,0,995.3,68,2024-07-02 13:00:00
18.5,19.2,17.3,3.6,0,995.3,62,2024-07-02 14:00:00
18.7,19.2,17.8,3.6,0,995.4,61,2024-07-02 15:00:00
19.2,19.5,18.6,3.3,0,995.3,57,2024-07-02 16:00:00
18.9,19.5,18.5,3.7,0,995.2,54,2024-07-02 17:00:00
18.4,18.6,18.1,3.9,0,995.1,54,2024-07-02 18:00:00
17.7,18.3,17.1,4.1,0,995,55,2024-07-02 19:00:00
17.3,17.9,16.8,3.6,0,994.9,56,2024-07-02 20:00:00
16.4,16.8,15.9,3.4,0,994.8,61,2024-07-02 21:00:00
15.3,15.9,14.9,3.3,0,994.8,70,2024-07-02 22:00:00
14.8,15,14.6,2.9,0,994.8,74,2024-07-02 23:00:00
14.4,14.9,14.1,2.9,0,994.6,78,2024-07-03
14.5,14.6,14.2,2.6,0,994.3,80,2024-07-03 01:00:00
14.3,14.4,14.2,3.1,0,994.1,84,2024-07-03 02:00:00
14.1,14.2,14,3.2,0,994.2,90,2024-07-03 03:00:00
14,14,13.8,2.8,0.1,994.4,93,2024-07-03 04:00:00
13.5,13.8,13.3,2.2,0.6,994.7,96,2024-07-03 05:00:00
13.4,13.6,13.3,1.7,0,995,97,2024-07-03 06:00:00
13.6,14,13.5,2.4,0,995.3,94,2024-07-03 07:00:00
15,15.8,14,3.4,0,995.7,81,2024-07-03 08:00:00
14.9,15.3,14.7,3.1,0,996.1,78,2024-07-03 09:00:00
15.7,16.6,15,2.4,0,996.6,73,2024-07-03 10:00:00
16,17.1,15.5,2.7,0,997.1,71,2024-07-03 11:00:00
16.5,17.2,15.7,2.9,0,997.2,71,2024-07-03 12:00:00
16.8,17.6,15.7,2.6,0,997.1,72,2024-07-03 13:00:00
17.3,18.1,16.7,2.6,0,997.4,70,2024-07-03 14:00:00
18,18.8,17.2,2.7,0,997.2,66,2024-07-03 15:00:00
18.6,19,18.2,2.5,0,997.2,63,2024-07-03 16:00:00
18.8,19.2,18.4,2.3,0,997,60,2024-07-03 17:00:00
18.6,18.9,18.2,2.6,0,997.1,58,2024-07-03 18:00:00
17.9,18.3,17.3,2.8,0,997.3,59,2024-07-03 19:00:00
16.8,17.5,16.2,3.1,0,997.6,65,2024-07-03 20:00:00
16.8,17.2,16.1,2,0,998,67,2024-07-03 21:00:00
